"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1543","Hootel Login","test","Mon Jan 12 17:59:17 UTC 2026","passed","Mon Jan 12 17:59:19 UTC 2026","TestHootel","test_hootel","",""
"","1088","test_hotel_list","test","Mon Jan 12 17:59:21 UTC 2026","passed","Mon Jan 12 17:59:22 UTC 2026","TestHootel","test_hootel","",""
